,empty_slots,free_bikes,latitude,longitude,name,timestamp,extra.last_updated,extra.slots
114,5,1,35.611085,139.68599,K1-83.北千束北児童公園,2024-02-08T18:15:54.583000Z,1707416104,6
115,7,3,35.584998,139.761055,I1-95.東京レールゲート EAST,2024-02-08T18:15:54.584000Z,1707416104,10
116,2,3,35.68285,139.698528,M5-19.グランリヴィエール代々木,2024-02-08T18:15:54.585000Z,1707416104,5
117,3,1,35.678296,139.791949,H1-192.ウエリスアーバン水天宮前,2024-02-08T18:15:54.587000Z,1707416104,4
118,3,1,35.728893,139.670119,N2-08.江古田区民活動センター,2024-02-08T18:15:54.588000Z,1707416104,4
119,1,2,35.722645,139.701982,D7-04.セブン-イレブン 新宿下落合3丁目店,2024-02-08T18:15:54.589000Z,1707416104,3
120,6,1,35.561499,139.71123,K1-82.西蒲田公園,2024-02-08T18:15:54.591000Z,1707416104,7
121,0,36,35.649274,139.792213,H1-68.芝浦工業大学附属中学高等学校,2024-02-08T18:15:54.592000Z,1707416104,36
122,1,15,35.557074,139.74575,K1-24.東糀谷防災公園,2024-02-08T18:15:54.592000Z,1707416104,16
123,13,2,35.640736,139.804331,H1-03.東雲駅,2024-02-08T18:15:54.593000Z,1707416104,15
124,0,15,35.574785,139.730762,K1-26.大森諏訪公園,2024-02-08T18:15:54.594000Z,1707416104,15
125,2,1,35.56892,139.725082,K1-25.鶴渡公園,2024-02-08T18:15:54.595000Z,1707416104,3
126,6,0,35.702659,139.662563,N3-10.エーエスホームズⅡ駐車場,2024-02-08T18:15:54.681000Z,1707416104,6
127,11,7,35.640398,139.704069,J1-37.中目黒公園,2024-02-08T18:15:55.849000Z,1707416104,18
128,6,0,35.696449,139.750784,A1-10.ヒューリック九段ビル,2024-02-08T18:15:54.600000Z,1707416104,6
129,2,2,35.548864,139.74484,K1-93.六間堀仲羽公園,2024-02-08T18:15:54.602000Z,1707416104,4
130,2,2,35.772863,139.626969,T2-53.上練馬公園,2024-02-08T18:15:54.603000Z,1707416104,4
131,0,12,35.680154,139.685937,M5-01.初台駅南口,2024-02-08T18:15:54.604000Z,1707416104,12
132,10,4,35.647659,139.745055,C1-60.専売ビル,2024-02-08T18:15:54.606000Z,1707416104,14
133,3,1,35.583555,139.743381,K1-85.大田区青少年交流センター ゆいっつ,2024-02-08T18:15:54.607000Z,1707416104,4
134,9,1,35.622965,139.731014,I1-64.株式会社ユアス ゆうパック取扱所：ポストのうしろ,2024-02-08T18:15:54.608000Z,1707416104,10
135,0,6,35.646375,139.740061,C4-09.ケーヨーデイツー三田店,2024-02-08T18:15:54.608000Z,1707416104,6
136,23,15,35.653096,139.75739,C1-61.環三浜松町駅南,2024-02-08T18:15:54.609000Z,1707416104,38
137,0,13,35.581698,139.71491,K1-84.佐伯山緑地,2024-02-08T18:15:54.610000Z,1707416104,13
138,5,8,35.650845,139.748346,C1-59.セレスティン芝三井ビルディング,2024-02-08T18:15:54.611000Z,1707416104,13
139,2,2,35.706167,139.815955,G2-07.レオーネ押上cube,2024-02-08T18:15:54.612000Z,1707416104,4
140,10,10,35.708265,139.751983,E1-06.文京シビックセンター,2024-02-08T18:15:54.613000Z,1707416104,20
141,0,23,35.695646,139.725722,D2-13.THE CENTER TOKYO,2024-02-08T18:15:54.613000Z,1707416104,23
142,2,4,35.724828,139.762583,E5-22.千駄木2丁目,2024-02-08T18:15:54.614000Z,1707416104,6
143,9,1,35.628266,139.734171,C4-07.品川プリンスホテル,2024-02-08T18:15:54.615000Z,1707416104,10
144,1,2,35.69474,139.77929,A3-43.unito CHIYODA,2024-02-08T18:15:54.616000Z,1707416104,3
145,0,21,35.644134,139.723432,C4-06.白金プラチナレジデンス,2024-02-08T18:15:54.616000Z,1707416104,21
146,3,0,35.62765,139.719212,I1-63.セブン-イレブン西五反田店,2024-02-08T18:15:54.617000Z,1707416104,3
147,18,0,35.653991,139.795513,H1-53.豊洲シビックセンター,2024-02-08T18:15:54.618000Z,1707416104,18
148,9,1,35.735428,139.652379,T3-16.練馬区役所東庁舎(第一),2024-02-08T18:15:54.619000Z,1707416104,10
149,2,3,35.731372,139.619164,T2-68.さくら原っぱ緑地,2024-02-08T18:15:54.620000Z,1707416104,5
150,0,4,35.76525,139.575978,T2-69.久保新田さくら公園,2024-02-08T18:15:54.620000Z,1707416104,4
151,0,5,35.685344,139.80234,H1-187.森下文化センター,2024-02-08T18:15:54.621000Z,1707416104,5
152,0,5,35.724707,139.750469,E4-04.セブン-イレブン 文京本駒込１丁目店,2024-02-08T18:15:54.622000Z,1707416104,5
153,8,0,35.649257,139.713272,M2-13.恵比寿プライムスクエアタワー南,2024-02-08T18:15:54.623000Z,1707416104,8
154,0,7,35.658249,139.815775,H1-48.セブン-イレブン 江東潮見２丁目店,2024-02-08T18:15:54.624000Z,1707416104,7
155,26,0,35.654958,139.795718,H1-51.豊洲交通広場　東,2024-02-08T18:15:54.625000Z,1707416104,26
156,14,1,35.646756,139.809295,H1-52.辰巳駅,2024-02-08T18:15:54.626000Z,1707416104,15
157,5,11,35.715894,139.698578,D7-01.下落合図書館,2024-02-08T18:15:54.627000Z,1707416104,16
158,11,0,35.655457,139.795161,H1-50.豊洲交通広場　北,2024-02-08T18:15:54.627000Z,1707416104,11
159,1,1,35.690861,139.736393,A6-14.MG市ヶ谷ビルディング,2024-02-08T18:15:54.628000Z,1707416104,2
160,1,3,35.768448,139.601679,T2-21.ファミリーマート 練馬大泉町一丁目店,2024-02-08T18:15:54.629000Z,1707416104,4
161,3,2,35.688929,139.7358,A6-15.東急番町ビル,2024-02-08T18:15:54.630000Z,1707416104,5
162,3,0,35.696202,139.752351,A1-18.東京区政会館別館(特別区研修所),2024-02-08T18:15:54.631000Z,1707416104,3
163,10,9,35.738585,139.653396,T3-18.練馬駅北,2024-02-08T18:15:54.632000Z,1707416104,19
164,3,3,35.658169,139.752509,C1-43.KDX浜松町プレイス,2024-02-08T18:15:54.632000Z,1707416104,6
